code_qp,lib_qp
QN05714M,Cité du Furst
QN05715M,Carrière Wenheck
QN05716M,Quartier Maroc
QN05717M,Quartier Breckelberg Fatima
QN05718M,Bellecroix
QN05719M,Hauts De Vallières
QN05720M,Borny
QN05721M,Sablon Sud
QN05722M,La Patrotte - Metz-Nord
QN05723M,Quartier Saint-Eloy - Boileau - Pré Génie
QN05724M,Les Chênes
QN05725N,Quartier Falogne
QN05726N,Roi
QN05801M,Grande Pâture - Les Montôts
QN05802M,Le Banlay
QN05803M,Bords de Loire - Courlis - La Baratte
QN05804M,Saint-Laurent
QN05901M,Auby Centre
QN05902M,Asturies - Belleforières
QN05903M,Résidence Gayant
QN05904M,Flers En Escrebieux Pont De La Deûle - Dorignies
QN05905M,Frais Marais
QN05906M,Notre Dame - La Clochette - Le Bivouac
QN05907M,Faubourg De Béthune
QN05908M,Les Epis
QN05909M,Waziers Centre
QN05910M,Les Explorateurs - Place Du 8 Mai 1945 - Jean Jaurès - La Flamenne
QN05911M,Quartier Du Village
QN05912M,Bois Du Quesnoy
QN05913M,Centre Lambreçon
QN05914M,Long Prés - Prés Du Paradis
QN05915M,Pont De Pierre
QN05916M,Provinces françaises - La Joyeuse
QN05917M,L'Epinette
QN05918M,Quartier Intercommunal Sous-Le Bois Montplaisir Rue D'Hautmont
QN05919M,Louvroil centre
QN05920M,Verrerie - Square République
QN05921M,Zone Intercommunale Rives De L'Escaut
QN05922M,Cité Thiers - Cité Du Rivage - Brunehaut
QN05923M,Centre Ville - Le Jard
QN05924M,Chaussiette - Macou
QN05925M,Centre Ville
QN05926M,Le Trieu
QN05927M,Quatre Chasses Poudrière Faiencerie
QN05928M,Centre Ville
QN05929M,La Pépinière-De Gaulle
QN05930M,Dutemple Chasse Royale Saint Waast - La Sentinelle
QN05931M,Zone Intercommunale Faubourg De Cambrai - La Briquette
QN05932M,Cité Le Jard
QN05933M,La Solitude Hermitage
QN05934M,Quartier Prioritaire d'Aniche
QN05935M,Quartier Prioritaire D'Auberchicourt Et Ecaillon
QN05936M,Quartier Prioritaire De Masny
QN05937M,Quartier Prioritaire De Montigny En Ostrevent
QN05938M,Barrois
QN05939M,Lemay Sainte Marie
QN05940M,Quartier Prioritaire De Somain
QN05941I,Résidences Pasteur Et Foch
QN05942M,Centre Ville - Gambetta
QN05943M,Coeur D'Etoile
QN05944M,Fourmies
QN05945M,Cité Des Bois
QN05946M,Vieux Centre Ville Saint Géry
QN05947M,Quartier Saint Roch
QN05948M,Quartier Amérique
QN05949M,Résidence D'Esnes
QN05950M,Denain
QN05951M,Liberté Vieux Douchy
QN05952M,Schneider
QN05953M,Couture Savonnerie
QN05954M,Gambetta
QN05955M,Sabatier
QN05956M,Elnon
QN05957M,Collinière
QN05958M,Arenberg
QN05959M,Petit Steendam
QN05960M,Saint Pol Sur Mer Quartiers Ouest
QN05961M,Banc Vert - Ile Jeanty - Carré De La Vieille - Jeu De mail
QN05962M,Soubise - Basse Ville
QN05963M,Albeck - Europe - Moulin
QN05964M,Degroote
QN05965M,Pont de Bois-Hôtel de ville
QN05966M,Résidence-Poste-Triolo
QN05967M,Attargette - Chanzy
QN05968M,Bizet - Briqueterie
QN05969M,Quartier Intercommunal Hautchamps Longchamp - Lionderie - 3 Baudets
QN05970M,Pacot - Vandracq
QN05971M,Secteur Ouest
QN05972M,Secteur Sud
QN05973M,Secteur Nord Est
QN05974M,Secteur Nord
QN05975M,Les Oliveaux
QN05976M,Clémenceau-Kiener
QN05977M,La Briquetterie
QN05978M,Nouveau Mons - Les Sarts- Dombrowski
QN05979M,Comtesse De Ségur
QN05980M,Quartier Intercommunal Roubaix-Tourcoing - Blanc Seau - Croix Bas Saint Pierre - Wattrelos Nord
QN05981M,Nouveau Roubaix
QN05982M,La Mouchonnière
QN05983M,Phalempins
QN05984M,Virolois
QN05985M,La Bourgogne
QN05986M,Pont Rompu
QN05987M,Blanc Riez
QN05988M,Epidéme Villas Couteaux
QN05989M,Centralité De Beaulieu
QN05990N,Coeur de Ville
QN05991N,Le Parc
QN05992N,Bruay Centre - Pont de Bruay
